gemeente_id,Provincienaam,Gemeentenaam,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020
400,Noord-Holland,Den Helder,0,0,0,0,0,0,0,0,0,0,0,0,0
762,Noord-Brabant,Deurne,0,0,0,0,0,0,0,0,0,0,1,1,1
150,Overijssel,Deventer,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Noord-Holland,Diemen,0,0,2,2,2,2,2,2,2,2,2,2,2
1774,Overijssel,Dinkelland,0,0,0,0,0,0,0,0,0,1,2,2,2
221,Gelderland,Doesburg,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Gelderland,Doetinchem,0,0,0,0,0,0,0,0,0,0,0,0,0
766,Noord-Brabant,Dongen,0,0,0,0,0,0,0,1,1,2,3,3,3
505,Zuid-Holland,Dordrecht,0,0,0,0,0,0,0,0,0,0,0,0,0
498,Noord-Holland,Drechterland,0,0,0,0,0,0,0,0,0,0,0,0,0
1719,Noord-Brabant,Drimmelen,0,0,0,0,0,0,0,0,0,0,0,0,0
303,Flevoland,Dronten,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Gelderland,Druten,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Gelderland,Duiven,0,0,0,0,0,0,0,0,0,0,0,0,0
1711,Limburg,Echt-Susteren,0,0,0,0,0,0,0,0,0,0,0,0,0
385,Noord-Holland,Edam-Volendam,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Gelderland,Ede,0,0,0,0,0,0,0,0,0,0,0,0,0
317,Utrecht,Eemnes,0,0,0,0,0,0,0,0,0,0,0,0,0
770,Noord-Brabant,Eersel,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,Limburg,Eijsden-Margraten,0,0,0,0,0,0,0,0,0,0,0,0,0
772,Noord-Brabant,Eindhoven,0,0,0,0,0,1,1,3,4,4,6,7,8
230,Gelderland,Elburg,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Drenthe,Emmen,0,0,0,0,0,0,0,0,0,0,1,1,1
388,Noord-Holland,Enkhuizen,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Overijssel,Enschede,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Gelderland,Epe,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Gelderland,Ermelo,0,0,0,0,0,0,0,0,0,0,0,0,1
777,Noord-Brabant,Etten-Leur,0,0,0,0,0,0,0,0,0,0,0,1,3
779,Noord-Brabant,Geertruidenberg,0,0,0,0,0,0,0,0,0,0,0,0,0
1771,Noord-Brabant,Geldrop-Mierlo,0,0,0,0,0,0,0,0,0,0,0,0,0
1652,Noord-Brabant,Gemert-Bakel,0,0,0,0,0,0,0,1,1,1,1,1,2
907,Limburg,Gennep,0,0,0,0,0,0,0,0,0,0,0,0,0
784,Noord-Brabant,Gilze en Rijen,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,Zuid-Holland,Goeree-Overflakkee,0,0,0,0,0,0,0,0,0,0,0,0,0
664,Zeeland,Goes,0,0,0,0,0,0,0,0,0,0,0,0,1
785,Noord-Brabant,Goirle,0,0,0,0,0,0,0,0,0,0,1,4,4
1942,Noord-Holland,Gooise Meren,0,0,0,0,0,0,1,1,2,2,2,2,2
512,Zuid-Holland,Gorinchem,0,0,0,1,1,0,0,0,0,0,0,0,0
513,Zuid-Holland,Gouda,0,0,0,0,0,0,0,0,0,0,0,0,1
786,Noord-Brabant,Grave,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Groningen,Groningen,0,0,0,0,0,0,0,0,0,0,0,0,0
1729,Limburg,Gulpen-Wittem,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Overijssel,Haaksbergen,0,0,0,0,0,0,0,0,0,0,0,0,0
788,Noord-Brabant,Haaren,0,0,0,0,0,0,0,0,0,0,0,2,2
392,Noord-Holland,Haarlem,0,0,0,0,0,1,1,1,1,1,2,2,1
394,Noord-Holland,Haarlemmermeer,0,0,0,0,0,0,0,0,0,0,0,0,0
1655,Noord-Brabant,Halderberge,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Overijssel,Hardenberg,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Gelderland,Harderwijk,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Zuid-Holland,Hardinxveld-Giessendam,0,0,0,0,0,0,1,2,4,4,4,4,5
72,Friesland,Harlingen,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Gelderland,Hattem,0,0,0,0,0,0,0,0,0,0,0,0,0
396,Noord-Holland,Heemskerk,0,0,0,0,0,0,0,0,0,0,0,0,0
397,Noord-Holland,Heemstede,0,0,0,0,0,0,0,0,0,0,1,1,1
246,Gelderland,Heerde,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Friesland,Heerenveen,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Noord-Holland,Heerhugowaard,0,0,0,0,0,0,0,0,0,0,0,0,0
917,Limburg,Heerlen,0,0,0,0,0,0,0,0,0,0,0,0,0
1658,Noord-Brabant,Heeze-Leende,0,0,0,0,0,0,0,0,0,0,0,0,0
399,Noord-Holland,Heiloo,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Overijssel,Hellendoorn,0,0,0,0,0,0,0,0,0,1,2,2,2
530,Zuid-Holland,Hellevoetsluis,0,0,0,0,0,0,0,0,0,0,0,0,0
794,Noord-Brabant,Helmond,0,0,0,0,1,1,4,4,4,4,5,7,11
531,Zuid-Holland,Hendrik-Ido-Ambacht,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Overijssel,Hengelo,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,Groningen,Het Hogeland,0,0,0,0,0,0,0,0,0,0,0,0,0
252,Gelderland,Heumen,0,0,0,0,0,0,0,0,0,0,0,0,0
797,Noord-Brabant,Heusden,0,0,0,0,0,0,0,0,0,1,1,1,1
534,Zuid-Holland,Hillegom,0,0,0,0,0,0,0,0,0,0,0,0,0
798,Noord-Brabant,Hilvarenbeek,0,0,0,0,0,0,0,0,0,0,0,0,0
402,Noord-Holland,Hilversum,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,Zuid-Holland,Hoeksche Waard,0,0,0,0,0,0,1,1,1,2,2,2,2
1735,Overijssel,Hof van Twente,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,Noord-Holland,Hollands Kroon,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Drenthe,Hoogeveen,0,0,0,0,0,0,0,0,0,0,0,0,0
405,Noord-Holland,Hoorn,0,0,0,0,0,0,0,0,0,0,0,0,0
1507,Limburg,Horst aan de Maas,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Utrecht,Houten,0,0,0,0,1,1,1,9,9,13,13,13,13
406,Noord-Holland,Huizen,0,0,0,0,0,0,0,0,0,0,1,1,1
677,Zeeland,Hulst,0,0,0,0,0,0,0,0,0,0,0,0,0
353,Utrecht,IJsselstein,0,0,0,0,0,0,0,0,0,0,1,1,1
1884,Zuid-Holland,Kaag en Braassem,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Overijssel,Kampen,0,0,0,0,0,0,0,0,0,0,0,0,0
678,Zeeland,Kapelle,0,0,0,0,0,0,0,0,0,0,0,0,0
537,Zuid-Holland,Katwijk,0,0,0,0,0,0,0,0,0,0,0,0,0
928,Limburg,Kerkrade,0,0,0,0,0,0,0,0,0,0,0,0,0
1598,Noord-Holland,Koggenland,0,0,0,0,0,0,0,0,0,0,0,0,0
542,Zuid-Holland,Krimpen aan den IJssel,0,0,0,0,0,0,0,0,0,0,0,0,0
1931,Zuid-Holland,Krimpenerwaard,0,0,0,0,0,0,0,0,0,0,1,1,1
1659,Noord-Brabant,Laarbeek,0,0,0,0,0,0,0,0,0,0,0,0,0
1685,Noord-Brabant,Landerd,0,0,0,0,0,0,0,0,0,0,2,2,1
882,Limburg,Landgraaf,0,0,0,0,0,0,0,0,0,0,0,0,0
415,Noord-Holland,Landsmeer,0,0,0,0,0,0,0,0,0,1,0,0,0
416,Noord-Holland,Langedijk,0,0,0,0,0,0,0,0,0,0,0,0,0
1621,Zuid-Holland,Lansingerland,0,0,0,0,0,0,0,0,1,2,2,3,4
417,Noord-Holland,Laren,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Friesland,Leeuwarden,0,0,0,0,0,0,0,0,0,0,0,0,0
546,Zuid-Holland,Leiden,0,0,0,0,0,0,0,0,0,0,0,0,1
547,Zuid-Holland,Leiderdorp,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,Zuid-Holland,Leidschendam-Voorburg,0,0,0,0,0,0,0,0,0,1,1,1,2
995,Flevoland,Lelystad,0,0,0,0,0,0,0,0,0,0,0,0,0
1640,Limburg,Leudal,0,0,0,0,0,0,0,0,0,0,0,1,2
327,Utrecht,Leusden,0,0,0,0,0,0,0,0,0,0,0,0,0
1705,Gelderland,Lingewaard,0,0,0,0,0,0,0,0,1,2,2,2,2
553,Zuid-Holland,Lisse,0,0,0,0,0,0,0,0,0,0,0,0,0
262,Gelderland,Lochem,0,0,0,0,0,0,0,0,0,0,0,0,0
809,Noord-Brabant,Loon op Zand,0,0,0,0,1,4,5,5,5,7,7,7,7
331,Utrecht,Lopik,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Groningen,Loppersum,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Overijssel,Losser,0,0,0,0,0,0,0,0,0,0,0,0,0
263,Gelderland,Maasdriel,0,0,0,0,0,0,0,0,0,0,1,1,1
