,id,Gemeente,Indicator,Aantal
144,1911,Hollands Kroon,Aantal gevallen,
145,118,Hoogeveen,Aantal gevallen,
146,405,Hoorn,Aantal gevallen,
147,1507,Horst aan de Maas,Aantal gevallen,
148,321,Houten,Aantal gevallen,13.0
149,406,Huizen,Aantal gevallen,1.0
150,677,Hulst,Aantal gevallen,
151,353,IJsselstein,Aantal gevallen,1.0
152,1884,Kaag en Braassem,Aantal gevallen,
153,166,Kampen,Aantal gevallen,
154,678,Kapelle,Aantal gevallen,
155,537,Katwijk,Aantal gevallen,
156,928,Kerkrade,Aantal gevallen,
157,1598,Koggenland,Aantal gevallen,
158,542,Krimpen aan den IJssel,Aantal gevallen,
159,1931,Krimpenerwaard,Aantal gevallen,1.0
160,1659,Laarbeek,Aantal gevallen,
161,1685,Landerd,Aantal gevallen,2.0
162,882,Landgraaf,Aantal gevallen,
163,415,Landsmeer,Aantal gevallen,
164,416,Langedijk,Aantal gevallen,
165,1621,Lansingerland,Aantal gevallen,3.0
166,417,Laren,Aantal gevallen,
167,80,Leeuwarden,Aantal gevallen,
168,546,Leiden,Aantal gevallen,
169,547,Leiderdorp,Aantal gevallen,
170,1916,Leidschendam-Voorburg,Aantal gevallen,1.0
171,995,Lelystad,Aantal gevallen,
172,1640,Leudal,Aantal gevallen,1.0
173,327,Leusden,Aantal gevallen,
174,1705,Lingewaard,Aantal gevallen,2.0
175,553,Lisse,Aantal gevallen,
176,262,Lochem,Aantal gevallen,
177,809,Loon op Zand,Aantal gevallen,7.0
178,331,Lopik,Aantal gevallen,
179,24,Loppersum,Aantal gevallen,
180,168,Losser,Aantal gevallen,
181,263,Maasdriel,Aantal gevallen,1.0
182,1641,Maasgouw,Aantal gevallen,
183,556,Maassluis,Aantal gevallen,
184,935,Maastricht,Aantal gevallen,6.0
185,420,Medemblik,Aantal gevallen,
186,938,Meerssen,Aantal gevallen,
187,1948,Meierijstad,Aantal gevallen,10.0
188,119,Meppel,Aantal gevallen,
189,687,Middelburg,Aantal gevallen,
190,1842,Midden-Delfland,Aantal gevallen,
191,1731,Midden-Drenthe,Aantal gevallen,
192,1952,Midden-Groningen,Aantal gevallen,
193,815,Mill en Sint Hubert,Aantal gevallen,
194,1709,Moerdijk,Aantal gevallen,
195,1978,Molenlanden,Aantal gevallen,
196,1955,Montferland,Aantal gevallen,
197,335,Montfoort,Aantal gevallen,
198,944,Mook en Middelaar,Aantal gevallen,
199,1740,Neder-Betuwe,Aantal gevallen,1.0
200,946,Nederweert,Aantal gevallen,
201,356,Nieuwegein,Aantal gevallen,
202,569,Nieuwkoop,Aantal gevallen,
203,267,Nijkerk,Aantal gevallen,
204,268,Nijmegen,Aantal gevallen,3.0
205,1930,Nissewaard,Aantal gevallen,
206,1970,Noardeast-Fryslân,Aantal gevallen,
207,1695,Noord-Beveland,Aantal gevallen,
208,1699,Noordenveld,Aantal gevallen,
209,171,Noordoostpolder,Aantal gevallen,
210,575,Noordwijk,Aantal gevallen,2.0
211,820,"Nuenen, Gerwen en Nederwetten",Aantal gevallen,
212,302,Nunspeet,Aantal gevallen,
213,579,Oegstgeest,Aantal gevallen,1.0
214,823,Oirschot,Aantal gevallen,
215,824,Oisterwijk,Aantal gevallen,3.0
216,1895,Oldambt,Aantal gevallen,
217,269,Oldebroek,Aantal gevallen,
218,173,Oldenzaal,Aantal gevallen,
219,1773,Olst-Wijhe,Aantal gevallen,
220,175,Ommen,Aantal gevallen,
221,1586,Oost Gelre,Aantal gevallen,
222,826,Oosterhout,Aantal gevallen,
223,85,Ooststellingwerf,Aantal gevallen,
224,431,Oostzaan,Aantal gevallen,
225,432,Opmeer,Aantal gevallen,
226,86,Opsterland,Aantal gevallen,
227,828,Oss,Aantal gevallen,1.0
228,1509,Oude IJsselstreek,Aantal gevallen,
229,437,Ouder-Amstel,Aantal gevallen,
230,589,Oudewater,Aantal gevallen,
231,1734,Overbetuwe,Aantal gevallen,
232,590,Papendrecht,Aantal gevallen,
233,1894,Peel en Maas,Aantal gevallen,
234,765,Pekela,Aantal gevallen,
235,1926,Pijnacker-Nootdorp,Aantal gevallen,2.0
236,439,Purmerend,Aantal gevallen,
237,273,Putten,Aantal gevallen,
238,177,Raalte,Aantal gevallen,
239,703,Reimerswaal,Aantal gevallen,
240,274,Renkum,Aantal gevallen,5.0
241,339,Renswoude,Aantal gevallen,
242,1667,Reusel-De Mierden,Aantal gevallen,
243,275,Rheden,Aantal gevallen,
244,340,Rhenen,Aantal gevallen,
245,597,Ridderkerk,Aantal gevallen,1.0
246,1742,Rijssen-Holten,Aantal gevallen,
247,603,Rijswijk,Aantal gevallen,
248,1669,Roerdalen,Aantal gevallen,
249,957,Roermond,Aantal gevallen,1.0
250,1674,Roosendaal,Aantal gevallen,
251,599,Rotterdam,Aantal gevallen,14.0
